"mainTitle","productTitle","prices","details","images"
"Notre Rotisserie","A Cotes (Extra)",,"[""Découvrez la meilleure sélection d'entrées et d'accompagnements dans notre restaurant de rôtisserie. Laissez-vous tenter par des viandes rôties succulentes, parfaitement assaisonnées et découpées à la perfection. Complétez votre plat principal avec notre gamme d'accompagnements délicieux, des salades croquantes aux légumes rôtis savoureux. Chaque plat est préparé avec expertise pour combler vos envies et sublimer votre expérience culinaire"",""Servi avec frites, sauce et pain à l' exception de la mini poutine aux croquettes""]",
"Notre Rotisserie","ENFANTS",,"[""Découvrez la meilleure sélection d'entrées et d'accompagnements dans notre restaurant de rôtisserie. Laissez-vous tenter par des viandes rôties succulentes, parfaitement assaisonnées et découpées à la perfection. Complétez votre plat principal avec notre gamme d'accompagnements délicieux, des salades croquantes aux légumes rôtis savoureux. Chaque plat est préparé avec expertise pour combler vos envies et sublimer votre expérience culinaire"",""Servi avec frites, sauce et pain à l' exception de la mini poutine aux croquettes""]",
"Notre menu Libanais","Nos Combos Libanais",,"[""Découvrez une explosion de saveurs méditerranéennes avec nos délicieux combos libanais. Chaque plat est soigneusement préparé pour offrir une expérience culinaire authentique et satisfaisante. Choisissez parmi une sélection de viandes savoureuses telles que le poulet grillé, l'agneau épicé ou le bœuf tendre, accompagnées de riz parfumé, de pommes de terre rôties et d'une salade fraîche. Que vous optiez pour notre combo au poulet, à l'agneau ou au bœuf, chaque bouchée vous transporte au cœur du Liban avec ses arômes exotiques et ses délices méditerranéens."",""Découvrez la délicieuse fusion de saveurs méditerranéennes avec nos Trios Libanais. Chaque wrap est soigneusement préparé pour offrir une expérience culinaire authentique et satisfaisante. Choisissez parmi une variété de délicieuses options, comme notre poulet grillé, notre agneau épicé ou notre falafel croustillant, enveloppés dans un pain pita chaud et moelleux et accompagnés de garnitures fraîches telles que la laitue, les tomates et le concombre. Savourez notre Trio Libanais pour une explosion de saveurs exotiques qui vous transporte directement au cœur du Moyen-Orient.""]",
"Notre menu Libanais","Nos Trios Libanais",,"[""Découvrez une explosion de saveurs méditerranéennes avec nos délicieux combos libanais. Chaque plat est soigneusement préparé pour offrir une expérience culinaire authentique et satisfaisante. Choisissez parmi une sélection de viandes savoureuses telles que le poulet grillé, l'agneau épicé ou le bœuf tendre, accompagnées de riz parfumé, de pommes de terre rôties et d'une salade fraîche. Que vous optiez pour notre combo au poulet, à l'agneau ou au bœuf, chaque bouchée vous transporte au cœur du Liban avec ses arômes exotiques et ses délices méditerranéens."",""Découvrez la délicieuse fusion de saveurs méditerranéennes avec nos Trios Libanais. Chaque wrap est soigneusement préparé pour offrir une expérience culinaire authentique et satisfaisante. Choisissez parmi une variété de délicieuses options, comme notre poulet grillé, notre agneau épicé ou notre falafel croustillant, enveloppés dans un pain pita chaud et moelleux et accompagnés de garnitures fraîches telles que la laitue, les tomates et le concombre. Savourez notre Trio Libanais pour une explosion de saveurs exotiques qui vous transporte directement au cœur du Moyen-Orient.""]",
"Notre Pizzeria","Super Spécial",,"[""Plongez dans le double plaisir avec notre offre Super Spécial - savourez 2 grandes pizzas de votre choix accompagnées de boissons rafraîchissantes, en faisant le festin parfait à partager avec vos amis et votre famille.""]",
"À Côté(EXTRA)","Jambon",,"[""Ajoutez une touche savoureuse à votre plat avec notre sélection d'options de jambon de qualité ! Choisissez parmi du jambon tranché finement et glacé au miel, du jambon de la Forêt-Noire fumé, ou du jambon de Virginie classique pour rehausser votre sandwich, votre salade, ou votre plateau de petit-déjeuner. Que vous ayez envie d'un délicieux croque-monsieur au jambon et au fromage ou d'une rafraîchissante salade de chef, nos extras de jambon ajouteront une saveur délicieuse à votre repas."",""Ajoutez de la protéine et de la saveur à votre repas avec notre sélection d'options d'œufs ! Choisissez parmi des œufs brouillés frais de la ferme, des œufs pochés parfaits, ou des œufs au plat pour compléter votre sandwich, votre salade ou votre burger.""]",
"À Côté(EXTRA)","Oeuf",,"[""Ajoutez une touche savoureuse à votre plat avec notre sélection d'options de jambon de qualité ! Choisissez parmi du jambon tranché finement et glacé au miel, du jambon de la Forêt-Noire fumé, ou du jambon de Virginie classique pour rehausser votre sandwich, votre salade, ou votre plateau de petit-déjeuner. Que vous ayez envie d'un délicieux croque-monsieur au jambon et au fromage ou d'une rafraîchissante salade de chef, nos extras de jambon ajouteront une saveur délicieuse à votre repas."",""Ajoutez de la protéine et de la saveur à votre repas avec notre sélection d'options d'œufs ! Choisissez parmi des œufs brouillés frais de la ferme, des œufs pochés parfaits, ou des œufs au plat pour compléter votre sandwich, votre salade ou votre burger.""]",
"Festin O'Oeuf Matin","Combo déjeuner classique (4-6 personnes)",,"[""Commencez la journée du bon pied avec notre copieux combo petit-déjeuner classique, comprenant une sélection de viennoiseries fraîchement cuites, des œufs brouillés, du bacon croustillant et votre choix entre un café chaud ou un jus d'orange rafraîchissant.""]",
"Combo Déjeuner Matin","Combo Bagel Matin",,"[""Profitez d'un bagel grillé de votre choix garni d'une variété de tartinades salées ou sucrées, de légumes frais et de viandes ou fromages de qualité supérieure. Que vous préfériez une combinaison classique ou que vous souhaitiez essayer quelque chose de nouveau, notre Bagel Matin offre d'innombrables possibilités pour combler vos envies de petit-déjeuner."",""Voici ce que le « bonjour » a le goût. Votre choix de saucisse, trois tranches de bacon croustillant, une omelette aux œufs assaisonnée et du fromage fondu sur un muffin anglais. Pas un amateur de viande ? Pas de soucis, on peut retirer la saucisse ou le bacon.""]",
"Combo Déjeuner Matin","Combo Muffin Anglais Matin",,"[""Profitez d'un bagel grillé de votre choix garni d'une variété de tartinades salées ou sucrées, de légumes frais et de viandes ou fromages de qualité supérieure. Que vous préfériez une combinaison classique ou que vous souhaitiez essayer quelque chose de nouveau, notre Bagel Matin offre d'innombrables possibilités pour combler vos envies de petit-déjeuner."",""Voici ce que le « bonjour » a le goût. Votre choix de saucisse, trois tranches de bacon croustillant, une omelette aux œufs assaisonnée et du fromage fondu sur un muffin anglais. Pas un amateur de viande ? Pas de soucis, on peut retirer la saucisse ou le bacon.""]",
"Wrap Déjeuner","Wrap Saucisse",,"[""Plongez dans notre savoureux Wrap à la Saucisse ! Mettant en vedette une saucisse succulente, des œufs brouillés, du fromage fondu et de la salsa épicée, le tout enveloppé dans une tortilla chaude, ce wrap satisfaisant est un favori du petit-déjeuner. Que vous commenciez votre journée ou que vous attrapiez une bouchée rapide en courant, notre Wrap à la Saucisse saura vous combler et vous donner de l'énergie."",""Dégustez notre délicieux Wrap au Jambon ! Garni de fines tranches de jambon, de laitue croquante, de tomates juteuses et de mayonnaise crémeuse, le tout enroulé dans une tortilla moelleuse, ce wrap savoureux est un choix délicieux pour n'importe quel repas. Que vous le savouriez pour le déjeuner ou une collation rapide, notre Wrap au Jambon saura combler vos envies""]",
"Wrap Déjeuner","Wrap Jambon",,"[""Plongez dans notre savoureux Wrap à la Saucisse ! Mettant en vedette une saucisse succulente, des œufs brouillés, du fromage fondu et de la salsa épicée, le tout enveloppé dans une tortilla chaude, ce wrap satisfaisant est un favori du petit-déjeuner. Que vous commenciez votre journée ou que vous attrapiez une bouchée rapide en courant, notre Wrap à la Saucisse saura vous combler et vous donner de l'énergie."",""Dégustez notre délicieux Wrap au Jambon ! Garni de fines tranches de jambon, de laitue croquante, de tomates juteuses et de mayonnaise crémeuse, le tout enroulé dans une tortilla moelleuse, ce wrap savoureux est un choix délicieux pour n'importe quel repas. Que vous le savouriez pour le déjeuner ou une collation rapide, notre Wrap au Jambon saura combler vos envies""]",
"Muffin Anglais Déjeuner","Muffin Anglais Bacon",,"[""Préparé avec soin et confectionné à la perfection, ce délice matinal présente des tranches de bacon croustillant entre deux moitiés de muffin anglais grillé. Offrez-vous une délicieuse expérience matinale."",""Découvrez notre délicieux sandwich au jambon sur muffin anglais ! Plongez dans une harmonie délicieuse de jambon savoureux et de muffin tendre, offrant une sensation gustative qui illuminera votre matinée. Préparé avec soin et précision, ce délice du petit-déjeuner met en valeur des tranches savoureuses de jambon nichées entre deux moitiés de muffin anglais grillé.""]",
"Muffin Anglais Déjeuner","Muffin Anglais Jambon",,"[""Préparé avec soin et confectionné à la perfection, ce délice matinal présente des tranches de bacon croustillant entre deux moitiés de muffin anglais grillé. Offrez-vous une délicieuse expérience matinale."",""Découvrez notre délicieux sandwich au jambon sur muffin anglais ! Plongez dans une harmonie délicieuse de jambon savoureux et de muffin tendre, offrant une sensation gustative qui illuminera votre matinée. Préparé avec soin et précision, ce délice du petit-déjeuner met en valeur des tranches savoureuses de jambon nichées entre deux moitiés de muffin anglais grillé.""]",
"Croissant Déjeuner","Croissant Bacon",,"[""Laissez-vous tenter par notre Croissant au Bacon pour le Petit-Déjeuner, où des couches de croissant beurré et feuilleté enveloppent des tranches croustillantes de bacon, accompagnées d'une généreuse portion d'œufs brouillés et de fromage fondu. C'est une symphonie de saveurs et de textures, garantie pour combler vos envies matinales et vous laisser désirer encore plus.\"""",""Un croissant chaud et beurré, délicatement tranché et garni de jambon tendre et savoureux. Lorsque vous croquez dedans, l'arôme riche du croissant fraîchement cuit se mêle à l'essence savoureuse du jambon, créant une symphonie de saveurs qui dansent sur votre palais.""]",
"Croissant Déjeuner","Croissant Jambon",,"[""Laissez-vous tenter par notre Croissant au Bacon pour le Petit-Déjeuner, où des couches de croissant beurré et feuilleté enveloppent des tranches croustillantes de bacon, accompagnées d'une généreuse portion d'œufs brouillés et de fromage fondu. C'est une symphonie de saveurs et de textures, garantie pour combler vos envies matinales et vous laisser désirer encore plus.\"""",""Un croissant chaud et beurré, délicatement tranché et garni de jambon tendre et savoureux. Lorsque vous croquez dedans, l'arôme riche du croissant fraîchement cuit se mêle à l'essence savoureuse du jambon, créant une symphonie de saveurs qui dansent sur votre palais.""]",
"Bagel Déjeuner","Bagel Bacon",,"[""Indulgez-vous avec la saveur irrésistible de notre Sandwich Déjeuner Bagel au Bacon. Un bagel grillé, garni de tranches de bacon croustillantes et de fromage fondu. À chaque bouchée, le goût fumé et savoureux du bacon danse sur votre palais, parfaitement équilibré par la chaleur réconfortante du bagel. C'est une gâterie de petit-déjeuner que vous n'oublierez pas de sitôt"",""Commencez votre journée sur une note délicieuse avec notre Sandwich Déjeuner Bagel au Jambon. Un bagel grillé, garni de tranches tendres de jambon et de fromage fondu. À chaque bouchée, le goût savoureux du jambon se fond avec la richesse beurrée du bagel, créant une expérience de petit-déjeuner simplement irrésistible.""]",
"Bagel Déjeuner","Bagel Jambon",,"[""Indulgez-vous avec la saveur irrésistible de notre Sandwich Déjeuner Bagel au Bacon. Un bagel grillé, garni de tranches de bacon croustillantes et de fromage fondu. À chaque bouchée, le goût fumé et savoureux du bacon danse sur votre palais, parfaitement équilibré par la chaleur réconfortante du bagel. C'est une gâterie de petit-déjeuner que vous n'oublierez pas de sitôt"",""Commencez votre journée sur une note délicieuse avec notre Sandwich Déjeuner Bagel au Jambon. Un bagel grillé, garni de tranches tendres de jambon et de fromage fondu. À chaque bouchée, le goût savoureux du jambon se fond avec la richesse beurrée du bagel, créant une expérience de petit-déjeuner simplement irrésistible.""]",
"Menu Enfant","1 crepe avec patate & jus",,"[""Crêpe pour Enfants avec Pommes de Terre & Jus : Faites plaisir à vos petits avec notre repas Crêpe pour Enfants ! Imaginez une délicieuse crêpe fraîchement préparée, garnie de leurs garnitures préférées, accompagnée de frites dorées et croustillantes et de leur choix de jus. C'est un repas délicieux et satisfaisant qui fera danser leurs papilles gustatives !""]",
"Crêpes Déjeuner","3 Petit Crepe / 3 Small Crepe",,"[""Offrez-vous un délicieux assortiment de trois petites crêpes ! Chaque crêpe est préparée avec soin et garnie de votre choix de garnitures sucrées ou salées, créant une expérience délicieuse et satisfaisante, parfaite pour partager ou savourer seul.""]",
"Nos Gateau","Gâteau Chocolat Praline/ Chocolate Praline Cake",,"[""Offrez-vous une part ou savourez un gâteau entier de notre Gâteau Chocolat Praliné ! Ce dessert luxueux comprend des couches de génoise au chocolat riche garnies d'une crème pralinée onctueuse et de morceaux croquants de noisettes. Surmonté d'un ganache au chocolat velouté et garni de noisettes caramélisées, c'est un délice décadent pour les amateurs de chocolat. Personnalisez votre gâteau avec des garnitures décoratives comme des copeaux de chocolat ou de la poussière d'or pour une touche supplémentaire d'élégance. Que vous célébriez une occasion spéciale ou simplement ayez envie d'une gâterie luxueuse, notre Gâteau Chocolat Praliné saura combler vos envies sucrées""]",
